id,time_days,cal12CH4ml,cal13CH4ml,AP_obs
2,0,1.32028,0.01898,1.417200544
2,0.027777778,0.97820892,0.01379742,1.390860062
2,0.054166667,0.6518577,0.00901056,1.363442693
2,0.08125,0.47699652,0.00647634,1.339545719
2,0.109027778,0.35676186,0.00478686,1.323987539
31,0,0.87776,0.01222,1.373064563
31,0.040972222,0.43053582,0.0056316,1.291155584
31,0.061111111,0.29594058,0.00366054,1.221804511
31,0.090277778,0.24328512,0.0028158,1.14416476
31,0.117361111,0.21906924,0.00253422,1.143583227
52,0,1.57222,0.0221,1.386170907
52,0.038194444,5.08026636,0.05885022,1.145142732
52,0.065277778,6.51210066,0.07349238,1.115956901
52,0.094444444,7.75668426,0.08672664,1.105726081
52,0.121527778,8.42543676,0.09348456,1.097375554
61,0,1.49344,0.02158,1.424403638
61,0.027083333,1.03255386,0.01464216,1.398225329
61,0.054166667,0.51585456,0.0070395,1.346257404
61,0.088888889,0.5335941,0.00732108,1.353461739
61,0.116666667,0.38801724,0.00506844,1.289398281
64,0,1.39126,0.02002,1.418570376
64,0.027083333,1.18291758,0.0168948,1.40812016
64,0.054166667,0.94667196,0.01351584,1.407624633
64,0.08125,0.74928438,0.01041846,1.371386212
64,0.108333333,0.61412598,0.0084474,1.356852103
71,0,0.66196,0.0091,1.356063541
71,0.027083333,0.3759093,0.00478686,1.25739645
71,0.060416667,0.2576457,0.00309738,1.187904968
71,0.088888889,0.22188504,0.00253422,1.12923463
71,0.116666667,0.21315606,0.00225264,1.045751634
